,TSLA,TSLA,TSLA,TSLA,TSLA,TSLA,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL
,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,
2013-12-18,30.447999954223633,30.979999542236328,29.190000534057617,29.59600067138672,29.59600067138672,57909500,19.632143020629883,19.694643020629883,19.242856979370117,19.67035675048828,17.493497848510742,565863200
2013-12-19,29.3799991607666,29.399999618530273,27.81999969482422,28.143999099731445,28.143999099731445,63700000,19.625,19.64285659790039,19.418928146362305,19.44499969482422,17.29307746887207,320308800
2013-12-20,28.31599998474121,28.8700008392334,28.31599998474121,28.648000717163086,28.648000717163086,37063000,19.479642868041992,19.70035743713379,19.457857131958008,19.60785675048828,17.437908172607422,436413600
2013-12-23,28.969999313354492,29.24799919128418,28.520000457763672,28.709999084472656,28.709999084472656,26927500,20.28571319580078,20.382856369018555,20.09857177734375,20.3603572845459,18.10713768005371,501306400
2013-12-24,30.0,30.993999481201172,29.964000701904297,30.281999588012695,30.281999588012695,49707500,20.353214263916016,20.424285888671875,20.215356826782227,20.273929595947266,18.0302791595459,167554800
2013-12-26,31.007999420166016,31.600000381469727,30.857999801635742,31.100000381469727,31.100000381469727,35647500,20.28928565979004,20.33928680419922,20.12071418762207,20.139286041259766,17.910526275634766,204008000
2013-12-27,31.059999465942383,31.100000381469727,30.15999984741211,30.224000930786133,30.224000930786133,27301000,20.136428833007812,20.157499313354492,19.98214340209961,20.00321388244629,17.789514541625977,225884400
2013-12-30,30.224000930786133,30.961999893188477,30.149999618530273,30.488000869750977,30.488000869750977,22337500,19.909286499023438,20.00321388244629,19.7257137298584,19.804285049438477,17.61260223388672,253629600
2013-12-31,30.464000701904297,30.639999389648438,29.73200035095215,30.086000442504883,30.086000442504883,21312000,19.791786193847656,20.045713424682617,19.78571319580078,20.036428451538086,17.819059371948242,223084400
2014-01-02,29.959999084472656,30.496000289916992,29.309999465942383,30.020000457763672,30.020000457763672,30942000,19.845714569091797,19.89392852783203,19.71500015258789,19.754642486572266,17.568450927734375,234684800
2014-01-03,30.0,30.437999725341797,29.719999313354492,29.91200065612793,29.91200065612793,23475000,19.7450008392334,19.774999618530273,19.301071166992188,19.320714950561523,17.18255043029785,392467600
2014-01-06,30.0,30.079999923706055,29.04800033569336,29.399999618530273,29.399999618530273,26805500,19.194643020629883,19.5285701751709,19.05714225769043,19.426071166992188,17.2762451171875,412610800
2014-01-07,29.52400016784668,30.079999923706055,29.049999237060547,29.871999740600586,29.871999740600586,25170500,19.440000534057617,19.498571395874023,19.211429595947266,19.28714370727539,17.152692794799805,317209200
2014-01-08,29.770000457763672,30.739999771118164,29.75200080871582,30.256000518798828,30.256000518798828,30816000,19.243213653564453,19.484285354614258,19.238929748535156,19.409286499023438,17.261323928833008,258529600
2014-01-09,30.5,30.68600082397461,29.3700008392334,29.506000518798828,29.506000518798828,26910000,19.5285701751709,19.53071403503418,19.11964225769043,19.161428451538086,17.040891647338867,279148800
2014-01-10,29.691999435424805,29.780000686645508,28.450000762939453,29.143999099731445,29.143999099731445,37230500,19.27964210510254,19.314285278320312,18.96821403503418,19.033571243286133,16.927183151245117,304976000
2014-01-13,29.1560001373291,29.399999618530273,27.56399917602539,27.868000030517578,27.868000030517578,31580500,18.925357818603516,19.375,18.924285888671875,19.133214950561523,17.015796661376953,378492800
2014-01-14,28.100000381469727,32.400001525878906,27.333999633789062,32.25400161743164,32.25400161743164,138035000,19.222143173217773,19.526071548461914,19.2021427154541,19.51392936706543,17.354379653930664,332561600
2014-01-15,33.689998626708984,34.44599914550781,32.41999816894531,32.82600021362305,32.82600021362305,102328000,19.768571853637695,20.007143020629883,19.7021427154541,19.90571403503418,17.702810287475586,391638800
2014-01-16,32.5,34.540000915527344,32.47999954223633,34.194000244140625,34.194000244140625,59797000,19.81785774230957,19.887500762939453,19.702856063842773,19.79464340209961,17.60403060913086,229278000
2014-01-17,34.03799819946289,34.63999938964844,33.59000015258789,34.00199890136719,34.00199890136719,46031000,19.695714950561523,19.716785430908203,19.282142639160156,19.309642791748047,17.172704696655273,426739600
2014-01-21,34.24800109863281,35.45800018310547,34.1619987487793,35.33599853515625,35.33599853515625,48673500,19.32107162475586,19.645357131958008,19.30071449279785,19.609643936157227,17.439504623413086,328526800
2014-01-22,35.5620002746582,36.06399917602539,34.95199966430664,35.71200180053711,35.71200180053711,35113000,19.675357818603516,19.903213500976562,19.56464385986328,19.696786880493164,17.51700210571289,379985200
2014-01-23,35.44599914550781,36.47600173950195,34.683998107910156,36.29999923706055,36.29999923706055,39337000,19.640714645385742,19.875,19.457500457763672,19.863571166992188,17.665328979492188,403239200
2014-01-24,35.56999969482422,36.09600067138672,34.70600128173828,34.91999816894531,34.91999816894531,38321500,19.78571319580078,19.843570709228516,19.45535659790039,19.502500534057617,17.344213485717773,429354800
2014-01-27,35.03200149536133,35.58399963378906,32.94200134277344,33.92399978637695,33.92399978637695,43582000,19.645357131958008,19.814285278320312,19.491071701049805,19.66071319580078,17.48491668701172,554878800
2014-01-28,34.29999923706055,35.79600143432617,34.20000076293945,35.67599868774414,35.67599868774414,30467000,18.170000076293945,18.39285659790039,17.93107032775879,18.08928680419922,16.0873966217041,1065523200
2014-01-29,35.060001373291016,35.81800079345703,34.625999450683594,35.04600143432617,35.04600143432617,29677500,17.998214721679688,18.120357513427734,17.807857513427734,17.883928298950195,15.904763221740723,502810000
2014-01-30,35.599998474121094,36.95600128173828,35.402000427246094,36.56800079345703,36.56800079345703,42825000,17.947856903076172,18.08928680419922,17.739286422729492,17.849285125732422,15.8739595413208,678501600
